Query,Label
alay,1
ampas,1
buta,1
keparat,1
anjing,1
anjir,1
babi,1
bacot,1
bajingan,1
banci,1
bandot,1
buaya,1
bangkai,1
bangsat,1
bego,1
bejat,1
bencong,1
berak,1
bisu,1
celeng,1
jancuk,1
bodoh,1
berengsek,1
budek,1
burik,1
jamban,1
cocot,1
congor,1
culun,1
cupu,1
dongok,1
dungu,1
edan,1
tai,1
ngewe,1
geblek,1
gembel,1
gila,1
goblok,1
iblis,1
idiot,1
jablay,1
jembud,1
jembut,1
jijik,1
kacrut,1
kafir,1
modar,1
kampang,1
kampret,1
kampungan,1
kimak,1
kontol,1
kunti,1
tuyul,1
kunyuk,1
mampus,1
memek,1
monyet,1
najis,1
nete,1
ngentot,1
noob,1
pecun,1
perek,1
sampah,1
sarap,1
setan,1
silit,1
bokong,1
sinting,1
sompret,1
sontoloyo,1
terkutuk,1
titit,1
pantat,1
tolol,1
udik,1
antek,2
asing,2
ateis,1
sitip,1
autis,1
picek,1
ayam kampus,1
bani kotak,2
bispak,1
bisyar,1
bokep,1
cebonk,2
cacat,1
cct,1
cebong,2
taplak,1
cungkring,1
gay,1
gembrot,1
gendut,1
hina,1
homo,1
komunis,2
koreng,1
krempeng,1
lengser,2
lesbi,1
lgbt,1
lonte,1
mucikari,1
munafik,1
ngaceng,1
nista,1
kejam,1
onta,2
panastak,2
panasbung,2
bani,2
pasukan nasi,2
porno,1
seks,1
rejim,1
rezim,1
sange,1
serbet,1
sipit,1
transgender,1
